unitid,"xgrcohrt",grcohrt,"xugenter",ugentern,"xpgrcohr",pgrcohrt,"xrrftct",rrftct,"xrrftex",rrftex,"xrrftcta",rrftcta,"xret_nmf",ret_nmf,"xret_pcf",ret_pcf,"xrrptct",rrptct,"xrrptex",rrptex,"xrrptcta",rrptcta,"xret_nmp",ret_nmp,"xret_pcp",ret_pcp
221333,"A",,"A",,"A",,"R",57,"R",0,"R",57,"R",50,"R",88,"R",18,"R",0,"R",18,"R",15,"R",83
221351,"R",477,"R",485,"R",98,"R",454,"R",1,"R",453,"R",387,"R",85,"R",0,"Z",0,"R",0,"Z",0,"A",
221388,"A",,"A",,"A",,"R",60,"R",0,"R",60,"R",47,"R",78,"R",7,"R",0,"R",7,"R",5,"R",71
221397,"R",1059,"R",1759,"R",60,"R",1098,"Z",0,"R",1098,"R",627,"R",57,"R",195,"Z",0,"R",195,"R",71,"R",36
221430,"A",,"A",,"A",,"R",146,"R",0,"R",146,"R",125,"R",86,"R",38,"R",0,"R",38,"R",33,"R",87
221485,"R",1617,"R",3658,"R",44,"R",1385,"R",0,"R",1385,"R",672,"R",49,"R",639,"Z",0,"R",639,"R",272,"R",43
221494,"A",,"A",,"A",,"R",110,"R",1,"R",109,"R",94,"R",86,"R",62,"R",0,"R",62,"R",49,"R",79
221519,"R",409,"R",427,"R",96,"R",402,"R",1,"R",401,"R",352,"R",88,"Z",0,"Z",0,"Z",0,"Z",0,"A",
221582,"A",,"A",,"A",,"R",78,"Z",0,"R",78,"R",23,"R",29,"R",13,"Z",0,"R",13,"R",1,"R",8
221591,"A",,"A",,"A",,"R",36,"Z",0,"R",36,"R",25,"R",69,"R",1,"Z",0,"R",1,"R",1,"R",100
221607,"A",,"A",,"A",,"R",57,"R",0,"R",57,"R",47,"R",82,"R",1,"Z",0,"R",1,"R",1,"R",100
221616,"A",,"A",,"A",,"R",232,"R",11,"R",221,"R",193,"R",87,"R",0,"R",0,"R",0,"R",0,"A",
221625,"A",,"A",,"A",,"R",317,"R",2,"R",315,"R",238,"R",76,"R",111,"R",0,"R",111,"R",111,"R",100
221634,"A",,"A",,"A",,"R",62,"R",0,"R",62,"R",45,"R",73,"R",12,"R",0,"R",12,"R",8,"R",67
221643,"R",1268,"R",3188,"R",40,"R",1186,"R",0,"R",1186,"R",673,"R",57,"R",414,"R",0,"R",414,"R",180,"R",43
221661,"R",526,"R",718,"R",73,"R",522,"R",0,"R",522,"R",374,"R",72,"R",13,"R",0,"R",13,"R",6,"R",46
221731,"R",261,"R",448,"R",58,"R",153,"R",3,"R",150,"R",95,"R",63,"R",0,"Z",0,"R",0,"Z",0,"A",
221740,"R",2070,"R",2840,"R",73,"R",1929,"Z",0,"R",1929,"R",1175,"R",61,"R",19,"Z",0,"R",19,"R",9,"R",47
221759,"R",4200,"R",5630,"R",75,"R",4331,"R",0,"R",4331,"R",3620,"R",84,"R",20,"R",0,"R",20,"R",13,"R",65
221768,"R",1359,"R",1960,"R",69,"R",1283,"R",0,"R",1283,"R",910,"R",71,"R",28,"R",1,"R",27,"R",13,"R",48
221795,"R",36,"R",64,"R",56,"R",31,"R",2,"R",29,"R",26,"R",90,"R",1,"R",0,"R",1,"R",1,"R",100
221829,"A",,"A",,"A",,"R",143,"R",1,"R",142,"R",114,"R",80,"R",0,"R",0,"R",0,"R",0,"A",
221838,"R",1018,"R",1631,"R",62,"R",1219,"Z",0,"R",1219,"R",749,"R",61,"R",9,"Z",0,"R",9,"R",6,"R",67
221847,"R",1661,"R",2713,"R",61,"R",1649,"Z",0,"R",1649,"R",1167,"R",71,"R",12,"Z",0,"R",12,"R",2,"R",17
221856,"R",130,"R",216,"R",60,"R",119,"R",0,"R",119,"R",47,"R",39,"R",8,"R",0,"R",8,"R",2,"R",25
221892,"R",218,"R",342,"R",64,"R",238,"Z",0,"R",238,"R",165,"R",69,"R",1,"Z",0,"R",1,"R",1,"R",100
221908,"R",944,"R",1560,"R",61,"R",791,"Z",0,"R",791,"R",440,"R",56,"R",223,"Z",0,"R",223,"R",96,"R",43
221953,"R",352,"R",402,"R",88,"R",360,"R",0,"R",360,"R",218,"R",61,"R",0,"R",0,"R",0,"R",0,"A",
221971,"R",437,"R",1138,"R",38,"R",450,"R",0,"R",450,"R",432,"R",96,"R",17,"R",0,"R",17,"R",16,"R",94
