UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4NC200,L4NC200,XL4GR200,L4GR200 
110608,"R",3556,"R",0,"R",3556,"R",326,"R",9,"R",1460,"R",41,"Z",0,"R",3556,"R",299,"R",1759,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110617,"R",2378,"R",0,"R",2378,"R",221,"R",9,"R",988,"R",42,"Z",0,"R",2378,"R",179,"R",1167,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110635,"R",3660,"R",0,"R",3660,"R",2337,"R",64,"R",3281,"R",90,"R",0,"R",3660,"R",22,"R",3303,"R",90,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110644,"R",4673,"R",20,"R",4653,"R",2198,"R",47,"R",3787,"R",81,"R",0,"R",4653,"R",98,"R",3885,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110653,"R",3964,"R",1,"R",3963,"R",2361,"R",60,"R",3211,"R",81,"R",0,"R",3963,"R",50,"R",3261,"R",82,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110662,"R",4256,"R",2,"R",4254,"R",2760,"R",65,"R",3795,"R",89,"R",0,"R",4254,"R",72,"R",3867,"R",91,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110671,"R",3509,"R",1,"R",3508,"R",1383,"R",39,"R",2255,"R",64,"R",0,"R",3508,"R",69,"R",2324,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110680,"R",4243,"R",0,"R",4243,"R",2372,"R",56,"R",3613,"R",85,"R",0,"R",4243,"R",94,"R",3707,"R",87,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110705,"R",3817,"R",0,"R",3817,"R",1987,"R",52,"R",3110,"R",81,"R",0,"R",3817,"R",56,"R",3166,"R",83,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110714,"R",3093,"R",0,"R",3093,"R",1571,"R",51,"R",2212,"R",72,"Z",0,"R",3093,"R",64,"R",2276,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
110875,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",51,"R",0,"R",51,"R",37,"R",73,"R",37,"R",73,"R",0,"R",51,"R",1,"R",38,"R",75
110918,"R",12,"R",1,"R",11,"R",1,"R",9,"R",2,"R",18,"R",0,"R",11,"R",0,"R",2,"R",18,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
111009,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",724,"R",0,"R",724,"R",204,"R",28,"R",498,"R",69,"Z",0,"R",724,"R",2,"R",500,"R",69
111054,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",167,"R",0,"R",167,"R",102,"R",61,"R",165,"R",99,"R",0,"R",167,"R",0,"R",165,"R",99
111081,"R",114,"R",0,"R",114,"R",68,"R",60,"R",70,"R",61,"R",0,"R",114,"R",3,"R",73,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
111188,"R",129,"R",0,"R",129,"R",55,"R",43,"R",80,"R",62,"Z",0,"R",129,"R",3,"R",83,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",.
111434,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",179,"R",0,"R",179,"R",10,"R",6,"R",42,"R",23,"R",0,"R",179,"R",23,"R",65,"R",36
111461,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",900,"R",0,"R",900,"R",82,"R",9,"R",224,"R",25,"R",0,"R",900,"R",146,"R",370,"R",41
